,Course Code,Course Title,Description
0,AERO ENG 1,Aerospace Engineering 1 Seminar,This is a freshman-level seminar course offered every Fall semester consisting of general-audience lectures by leading practitioners of aerospace engineering from the Bay Area and beyond. This seminar will be coordinated by a faculty member in charge of identifying and scheduling the speakers. Aerospace Engineering 1 Seminar
1,AERO ENG 2,Aerospace Engineering 2 Seminar,This is a freshman-level seminar course offered every Spring semester that showcases aerospace-related research by the UC Berkeley campus engineering and scientific community (including Lawrence Berkeley National Laboratory and the Space Sciences Laboratory). This seminar will be coordinated by one of the faculty who will be in charge of scheduling the speakers. Aerospace Engineering 2 Seminar
2,AERO ENG 10,Introduction to Aerospace Engineering Design,"This course introduces mathematical engineering concepts and a wide range of analysis and design techniques of relevance to aerospace engineering via approximately 3-week modules covering the following topics: dynamics and control of a small quad-rotor aircraft; dynamics of elliptic, hyperbolic, and parabolic orbits, including rendezvous of objects in the same circular orbit; control volume analysis of a rocket engine; sling-shot effect to drive space probes into space; thermal control in outer space; optimization of airfoils using morphing techniques; rapid prototyping-assisted design of lightweight materials. Introduction to Aerospace Engineering Design"
3,AERO ENG 24,Freshman Seminars,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Freshman Seminars"
4,AERO ENG 98,Supervised Group Study and Research,Organized group study on various topics selected by lower division students under the sponsorship and direction of a member of the Aerospace Engineering faculty. Supervised Group Study and Research
5,AERO ENG C162,Introduction to Flight Mechanics,"This course introduces flight mechanics and a wide range of analysis and design techniques of relevance to the flight and performance characteristics of aerospace vehicles. The course consists of 6 major modules with the following topics: introduction, flow types, lift and drag, aircraft performance, stability and control, and, prominently, space flight. The entire course is enriched with numerous practical examples from real life that help to understand the practical use of the subject matter. Introduction to Flight Mechanics"
6,AERO ENG C166,Introduction to Compressible Flow,"This course introduces the theory of compressible flows (gases) and the mathematics representation of different flow regimes. Students will learn about the governing equations of general compressible flows and special cases such as inviscid and irrotational flows. The course will cover the following topics: 1D-flow, converging-diverging nozzle, normal and oblique shock definitions and practical examples for aerospace applications, Mach waves, wave equation, shock tube , transonic flow, supersonic flow, method of characteristics, and an introduction to hypersonic flows. Practical examples of aerospace applications such as turbomachinery flows, flow past an airfoil and a 3D wing will be included. Introduction to Compressible Flow"
7,AERO ENG C184,Flight Vehicle Structures and Aeroelasticity,"This course introduces engineering students to the analysis and design of load-bearing components of flight structures, ranging from subsonic aircraft to rockets. Emphasis is placed on the quasi-static and dynamic analysis of structural components which are prevalent in aerospace engineering. Attention is also devoted to a comprehensive design roadmap of flight vehicle structures from the full system- to the individual component-level Flight Vehicle Structures and Aeroelasticity"
8,AERO ENG 193,Special Topics in Aerospace Engineering,This course covers current topics of interest in Aerospace Engineering. Topics and content may vary semester to semester. Special Topics in Aerospace Engineering
9,AERO ENG H194,Honors Undergraduate Research,Undergraduate students in good academic standing who have completed a satisfactory number of science and engineering courses may pursue original honors research under the supervision of a faculty member. A minimum of 3 units of AERO ENG H194 may be considered as equivalent to one technical elective course in the Aerospace Engineering major subject to the approval of the Director of Aerospace Engineering programs in the College of Engineering. Honors Undergraduate Research
10,AERO ENG 196,Undergraduate Research,Undergraduate students in good standing who have completed a satisfactory number of science and engineering courses may pursue original research under the supervision of a faculty member. A minimum of 3 units of AERO ENG 196 may be considered as equivalent to one technical elective course in the Aerospace Engineering major subject to the approval of the Director of Aerospace Engineering programs in the College of Engineering. Undergraduate Research
11,AERO ENG 197,Undergraduate Aerospace Engineering Field Studies,"Supervised field experience relative to specific aspects of practice in aerospace engineering. Under guidance of a faculty member, the student will work in government or industry, primarily in an internship setting or related type of short-time project. Emphasis is placed on attaining practical experience in the aerospace engineering field. Undergraduate Aerospace Engineering Field Studies"
12,AERO ENG 198,Directed Group Study for Advanced Undergraduates,Group study of a selected topic or topics in Aerospace Engineering. Credit for 198 or 199 courses combined may not exceed 4 units in any single term. See College for other restrictions. Directed Group Study for Advanced Undergraduates
13,AERO ENG 199,Supervised Independent Study,Undergraduate students in good standing who have completed a satisfactory number of science and engineering courses may pursue supervised independent study under the supervision of a faculty member. Supervised Independent Study
14,AEROSPC 1A,Foundations of the U.S. Air Force,"This course introduces students to the United States Air Force (USAF) and Air Force Reserve Officer Training Corps (AFROTC) with an overview of the basic characteristics, missions, and organization of the Air Force; additional topics include officership and professionalism, Air Force career opportunities, military customs and courtesies, and an introduction to USAF basic communication skills. Additionally, AFROTC cadets must attend weekly Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force customs and courtesies, health and physical fitness, and drills and ceremonies. Foundations of the U.S. Air Force"
15,AEROSPC 1B,Foundations of the U.S. Air Force,"A survey course designed to introduce cadets to the U.S. Air Force and the Air Force Reserve Officer Training Corps (AFROTC). Featured topics include the history and structure of the U.S. Air Force, the Air Force’s capabilities, career opportunities, benefits, Air Force installations, and communications skills. Additionally, AFROTC cadets must attend Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force customs and courtesies, health and physical fitness, and drills and ceremonies. Foundations of the U.S. Air Force"
16,AEROSPC 2A,The Evolution of Air and Space Power,"This course is designed to provide a fundamental understanding of both leadership and team building. Students will learn that there are many layers to leadership, including aspects that do not always come to mind. Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things like conflict management. Students should demonstrate basic verbal and written communication skills. Note: AFROTC cadets will apply these lessons at Leadership Lab and Field Training. The Evolution of Air and Space Power"
17,AEROSPC 2B,The Evolution of Air and Space Power,"This course is designed to provide a fundamental understanding of both leadership and team building. Students will learn that there are many layers to leadership, including aspects that do not always come to mind. Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things like conflict management. Students should demonstrate basic verbal and written communication skills. Note: AFROTC cadets will apply these lessons at Leadership Lab and Field Training. The Evolution of Air and Space Power"
18,AEROSPC 100,Leadership Laboratory,"Leadership Lab (LLAB) represents the hands-on portion of the Aerospace Studies courses. It presents a dynamic and integrated grouping of leadership developmental activities. LLAB is a student planned, organized, and executed practicum intended to maximize cadet leadership experience and preparation for easy transition to their active duty assignments. It is conducted under the supervision of AFROTC cadre. The course focuses on the leadership experiences of senior and junior cadets and provides training in basic military knowledge and skills to underclass cadets. Cadets are trained on proper uniform wear, grooming and appearance requirements, physical fitness, knowledge of military customs and courtesies, and military drill and ceremony. Leadership Laboratory"
19,AEROSPC 135A,Leadership Studies,"This course is a study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Lecture, text, case studies, and class discussion will be used to examine all aspects of leadership including counseling, mentoring, empowering, problem solving, accountability and authority. Students will develop upon basic written and oral communications skills primarily through written assignments and oral presentations. Leadership Studies"
20,AEROSPC 135B,Leadership Studies,"This course is a study of leadership, management fundamentals, professional knowledge, and communication skills required of an Air Force junior officer. Lecture, text, case studies, and class discussion will be used to examine all aspects of leadership including counseling, mentoring, empowering, problem solving, accountability and authority. Students will develop upon basic written and oral communications skills primarily through written assignments and oral presentations. Leadership Studies"
21,AFRICAM R1A,Freshman Composition,"Training in expository, argumentative, and other styles of writing. The assignments will focus on themes and issues in African American life and culture. Satisfies the first half of the Reading and Composition requirement. Freshman Composition"
22,AFRICAM R1AN,Reading and Composition,"10 Week Session To provide Summer Bridge students with training in expository, argumentative, and other styles of writing. The assignments will focus on themes and issues in African American life and culture. Satisfies the first half of the Reading and Composition requirement. Reading and Composition"
23,AFRICAM R1B,Freshman Composition,"Continued training in expository and argumentative writing, with more emphasis on literary interpretation. Satisfies the second half of the Reading and Composition requirement. Freshman Composition"
24,AFRICAM 4A,Africa: History and Culture,"Emphasis on pre-colonial social, cultural, political, and economic structures; introduction to art, literature, oral traditions, and belief systems. Africa: History and Culture"
25,AFRICAM 4B,Africa: History and Culture,"Second 6 Week Session Emphasis on social, political, and economic change in 20th century Africa; with further emphasis upon the roles of modernization, urbanization, and the emergence of contemporary African states. Africa: History and Culture"
26,AFRICAM N4A,Africa: History and Culture,"10 Week Session Emphasis on pre-colonial social, cultural, political, and economic structures; introduction to art, literature, oral traditions, and belief systems. Africa: History and Culture"
27,AFRICAM 5A,African American Life and Culture in the United States,"A study of the genesis, development, and scope of African American culture, approached through an examination of selected art forms, historical themes, and intellectual currents. African American Life and Culture in the United States"
28,AFRICAM 5B,African American Life and Culture in the United States,Emphasis on the social experience of African Americans. An interdisciplinary approach designed to help students understand the forces and ideas that are influencing the individual and collective African American experience. African American Life and Culture in the United States
29,AFRICAM 7A,Elementary Wolof,"This course introduces students to speaking, listening, reading, and writing in Wolof. Instruction is mixed English and Wolof. Emphasis is placed on developing student ability to create and to communicate with basic Wolof structures and vocabulary in culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing are developed through in-class exercises, independent reading projects, and compositions. This course not open to native or heritage speakers of Wolof. Elementary Wolof"
30,AFRICAM 7B,Elementary Wolof,"This course introduces students to speaking, listening, reading, and writing in Wolof. Instruction is mixed English and Wolof. Emphasis is placed on developing student ability to create and to communicate with basic Wolof structures and vocabulary in a culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from the Berkeley Language Center. Reading and writing are developed through in-class exercises, independent reading projects, and compositions. For students with no college level Wolof completed with passing grade; this course is not open to native heritage speakers of Wolof. Elementary Wolof"
31,AFRICAM 8A,Intermediate Wolof,"This course reviews and expands students' knowledge of fundamental structures from Elementary Wolof and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials. Intermediate Wolof"
32,AFRICAM 8B,Intermediate Wolof,"This course reviews and expands students' knowledge of fundamental structures from Elementary Wolof, and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at the Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by the instructor's materials. Intermediate Wolof"
33,AFRICAM 9A,Advanced Wolof,"This course reviews and expands students' knowledge from Intermediate Wolof. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary, and reading are expanded through compositions, written exercises , and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by the instructor's materials. Advanced Wolof"
34,AFRICAM 9B,Advanced Wolof,"This course reviews and expands students' knowledge from Intermediate Wolof. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary and reading are expanded through compositions, written exercises , and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by the instructor's materials. Advanced Wolof"
35,AFRICAM 10A,Intermediate Swahili,"This course reviews and expands students' knowledge of fundamental structures from Elementary Swahili and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials. Intermediate Swahili"
