Role,Cluster,Type,Skills
academic resource advisor,academic resource advisor_0,role,"'.net', 'microsoft project', 'microsoft visio', 'object-oriented programming (oop)', 'vbscript'"
academic resource advisor,academic resource advisor_-1,role,"'digital logic', 'peripheral installation', 'jvs system', 'linux administration', 'manual testing', 'remedy itsm', 'robotics', 'verilog hdl'"
academic resource advisor,academic resource advisor_1,role,"'java programming', 'unix'"
account assistant,account assistant_0,role,"'accounts receivable', 'bookkeeping', 'contract management', 'credit analysis', 'debit accounting', 'digital equipment corporation (dec) systems', 'finance', 'management information systems (mis)', 'financial statement preparation', 'tax preparation'"
account assistant,account assistant_1,role,"'adobe illustrator', 'adobe photoshop', 'audio editing', 'developer 2000', 'adobe pagemaker'"
account assistant,account assistant_-1,role,"'dos', 'quality inspection', 'oracle database', 'oracle 8i', 'policy development', 'report generation', 'windows 9x'"
account executive,account executive_-1,role,"'email communication', 'data migration', 'team building', 'energy efficiency', 'android development', 'closing procedures', 'quickbooks', 'sales techniques', 'insurance', 'owasp zap', 'accounts payable/receivable', 'focus erp', 'newsletter creation', 'pclaw', 'primary care', 'lean manufacturing', 'cdi', 'sage peachtree', 'pico framework', 'full accounting cycle', 'software as a service (saas)', 'utilities management', 'physics', 'control systems', 'cascading style sheets (css)', 'cisco', 'functional testing', 'public relations (pr)', 'form design', 'sensor technology', 'proposal writing', 'market research'"
account executive,account executive_1,role,"'pascal programming', 'computer programming', 'graphic design', 'computer vision', 'microsoft word', 'cobol programming', 'microsoft powerpoint', 'adobe photoshop', 'computer networking', 'pr software', 'microsoft access'"
account executive,account executive_2,role,"'mathematics', 'algebra', 'geometry'"
account executive,account executive_0,role,"'contract management', 'business intelligence (bi)', 'business development', 'general ledger accounting', 'data warehousing'"
account manager,account manager_-1,role,"'email communication', 'data migration', 'team building', 'energy efficiency', 'pascal programming', 'closing procedures', 'insurance', 'focus erp', 'conflict resolution', 'newsletter creation', 'data storage', 'software as a service (saas)', 'cascading style sheets (css)', 'cisco', 'functional testing', 'public relations (pr)', 'form design', 'microsoft visio', 'decision-making', 'sensor technology', 'microsoft access', 'matlab', 'sql', 'proposal writing', 'market research'"
account manager,account manager_2,role,"'android development', 'business intelligence (bi)', 'ios development', 'business development'"
account manager,account manager_0,role,"'sales techniques', 'product and service sales'"
account manager,account manager_3,role,"'computer programming', 'graphic design', 'computer networking'"
account manager,account manager_4,role,"'mathematics', 'algebra', 'geometry', 'physics', 'chemistry'"
account manager,account manager_1,role,"'contract management', 'utilities management', 'account management', 'relationship management', 'territory management'"
account manager and logistics analyst,account manager and logistics analyst_0,role,"'algebra', 'mathematics', 'geometry', 'grading and evaluation', 'quantitative analysis'"
account manager and logistics analyst,account manager and logistics analyst_1,role,"'classroom monitoring', 'esl teaching'"
account manager and logistics analyst,account manager and logistics analyst_-1,role,"'google docs', 'presentation skills', 'procurement', 'sql', 'student support', 'technology integration'"
account receivable clerk,account receivable clerk_0,role,"'accounts payable', 'accruals', 'account balancing', 'balance sheet preparation', 'balance sheets', 'benefits administration', 'billing', 'credit analysis', 'expense reporting', 'finance', 'financial reporting', 'general ledger accounting', 'insurance', 'business correspondence', 'profit and loss (p&l) analysis', 'real estate', 'report generation', 'tax preparation', 'treasury management'"
account receivable clerk,account receivable clerk_-1,role,"'cobol programming', 'dialysis', 'month-end close', 'microsoft powerpoint', 'primary care', 'business process improvement', 'settlements', 'tax law'"
account receivable clerk,account receivable clerk_1,role,"'computer programming', 'microsoft word'"
accountant,accountant_1,role,"'budget variance analysis', 'accounting software', 'asset keeper pro', 'scheduling', 'atm operation', 'management information systems (mis)', 'cost accounting', 'secretarial support', 'receiving', 'grant writing', 'software training', 'email communication', 'sales analysis', 'bookkeeping', 'office administration', 'computer programming', 'finance', 'microsoft powerpoint', 'sarbanes-oxley (sox) compliance', 'digital equipment corporation (dec) systems', 'procedure writing', 'web applications', 'team building', 'trend analysis', 'financial statement preparation', 'sage peachtree', 'balance sheet preparation', 'year-end processing', 'agency management', 'record keeping', 'closing procedures', 'credit analysis', 'meeting management', 'quickbooks', 'financial research', 'computer applications', 'organization skills', 'chase paymentech', 'government regulations', 'clerical skills', 'general ledger accounting', 'developer 2000', 'lotus software', 'prosystem fx tax', 'mac os', 'workflow management', 'financial controller', 'sage mas 90', 'contract management', 'file maintenance', 'automated payroll processing', 'insurance', 'accounts receivable', 'invoicing', 'training materials', 'fixed asset software', 'creative solutions accounting', 'real estate', 'basic computer skills', 'data access', 'financial systems analysis', 'calculator skills', 'acquisitions', 'mergers and acquisitions (m&a)', 'business objects', 'business process improvement', 'individual tax returns', 'quantitative analysis', 'trial balance', 'corporate finance', 'harvard graphics', 'internal controls', 'technical support', 'office equipment operation', 'fax machine operation', 'cash receipts', 'adobe illustrator', 'staffing', 'corporate visa management', 'internal controls implementation', 'catalog management', 'accounts payable/receivable', 'kronos workforce management', 'accruals', 'cashier skills', 'computer networking', 'oracle database', 'quicken', 'fund accounting', 'expense reporting', 'variance analysis', 'presentation skills', 'business intelligence (bi)', 'newsletter creation', 'jd edwards enterpriseone', 'driving', 'profit pluss 2k8', 'complyright software', 'life insurance', 'payroll processing', 'adp payroll', 'lotus notes', 'tax preparation', 'microsoft accounting', 'master of business administration (mba)', 'billing', 'accounts payable', 'ios development', 'appfolio', 'derivatives trading', 'tax return filing', 'payroll mate software', 'sales reporting', 'business correspondence', 'aderant/cms', 'fiscal management', 'analytical skills', 'cdi', 'reconciliation', 'sage accounting software', 'invoice processing', 'account balancing', 'quality inspection', 'direct sales', 'data visualization', 'cash register operation', 'audio editing', 'full accounting cycle', 'adobe pagemaker', 'balance sheets', 'oracle 8i', 'software as a service (saas)', 'desktop publishing', 'purchasing', 'public accounting', 'financial reporting', 'software developer', 'sage fixed assets', 'telephone skills', 'supervision', 'treasury management', 'microsoft word', 'expertise', 'fixed asset accounting', 'government contracts', 'report generation', 'adp ezlabor', 'computer peripherals', 'shipping and receiving', 'complex problem solving', 'quickbooks pro', 'instructional design', 'cobol programming', 'faxing', 'certified public accountant (cpa)', 'month-end close', 'progress software', 'cash handling', 'microsoft publisher', 'relationship management', 'office master system', 'administrative management', 'innovation management', 'hyperion systems', 'program management', 'pricing strategy', 'negotiation', 'host software', 'benefits administration', 'direct mail marketing', 'marketing materials', 'glacier tax prep software', 'operating systems', 'office management', 'transportation logistics', 'data trending', 'software proficiency', 'packaging design', 'general ledger', 'adobe photoshop', 'equity trading', 'ngs systems', 'job costing', 'intuit proseries', 'netsuite', 'data entry', 'profit and loss (p&l) analysis', 'proposal writing', 'myob accounting software', 'annuities', 'systems integration', 'database tables', 'decision-making', 'timberline software', 'coding', 'crystal reports', 'restaurant management', 'atlas software', 'public relations (pr)', 'form design', 'annual reports', 'mentoring', 'public speaking', 'web page design', 'profitability analysis', 'fds software', 'frx financial reporting', 'copier operation', 'online advertising', 'data warehousing', 'financial planning', 'pr software', 'works software', 'usda regulations', 'lx systems', 'keane care software', 'time management', 'charting', 'procurement', 'medline database', 'system monitoring', 'crm software', 'intuit payroll', 'mainframe systems', 'conference management', 'receptionist duties', 'sensor technology', 'debit accounting', 'microsoft access', 'data backup', 'revenue recognition', 'audio engineering', 'anytime scheduler', 'administrative skills', 'quick learner', 'sql', 'delivery management', 'investment management', 'taxslayer', 'document scanning', 'order processing', 'policy development', 'data validation', 'scheme programming', 'tax law', ""driver's license"", 'dos', 'international financial reporting standards (ifrs)', 'ad-hoc reporting'"
accountant,accountant_2,role,"'hospice care', 'primary care', 'community health'"
accountant,accountant_0,role,"'bilingual (spanish)', 'foreign languages', 'polish language', 'arabic language', 'swedish language', 'natural language processing', 'hindi language'"
accountant,accountant_-1,role,"'windows 9x', 'adaptability', 'algebra', 'component object model (com)', 'hyperion essbase', 'phoenix e1', 'image freeway', 'focus erp', 'settlements', 'client focus', 'pclaw', 'ultratax cs', 'biotechnology', 'bi360', 'macros', 'pico framework', 'multitasking', 'novell groupwise', 'copying', 'merchandising', 'us gaap', 'typing speed', 'munis', 'as/400', 'critical thinking', 'results-oriented', 'nanovision', 'two-tier architecture', 'epicor erp', 'interviewing', 'dialysis', 'functional testing', 'omb circular a-133', 'netscape messenger', 'food safety', 'calbench', 'crime scene investigation (csi)', 'adjustments', 'direction', 'journal entries'"
accountant   payables / accounting clerk,accountant   payables / accounting clerk_1,role,"'accounting software', 'general ledger accounting', 'myob accounting software'"
accountant   payables / accounting clerk,accountant   payables / accounting clerk_2,role,"'accounts payable', 'accounts receivable', 'account balancing', 'balance sheet preparation', 'trial balance'"
accountant   payables / accounting clerk,accountant   payables / accounting clerk_-1,role,"'accruals', 'administrative skills', 'bookkeeping', 'closing procedures', 'computer peripherals', 'data entry', ""driver's license"", 'email communication', 'fund management', 'hindi language', 'insurance', 'web applications', 'invoicing', 'foreign languages', 'business correspondence', 'management information systems (mis)', 'negotiation', 'policy development', 'microsoft powerpoint', 'purchasing', 'quickbooks', 'sales analysis', 'secretarial support', 'audio engineering', 'supervision', 'typing speed', 'microsoft word'"
accountant   payables / accounting clerk,accountant   payables / accounting clerk_0,role,"'credit analysis', 'finance'"
accountant /auditor,accountant /auditor_0,role,"'business objects', 'business process improvement'"
accountant /auditor,accountant /auditor_-1,role,"'closing procedures', 'grant writing', 'invoicing', 'general ledger', 'macros', 'system monitoring', 'operating systems', 'policy development', 'microsoft powerpoint', 'report generation', 'sarbanes-oxley (sox) compliance', 'training materials', 'data visualization'"
accountant /auditor,accountant /auditor_1,role,"'contract management', 'procurement'"
accountant /auditor,accountant /auditor_2,role,"'finance', 'financial reporting', 'general ledger accounting'"
accountant cum secretary,accountant cum secretary_1,role,"'accounting software', 'general ledger accounting', 'myob accounting software'"
accountant cum secretary,accountant cum secretary_2,role,"'accounts payable', 'accounts receivable', 'account balancing', 'balance sheet preparation', 'trial balance'"
accountant cum secretary,accountant cum secretary_-1,role,"'accruals', 'administrative skills', 'bookkeeping', 'closing procedures', 'computer peripherals', 'data entry', ""driver's license"", 'email communication', 'fund management', 'hindi language', 'insurance', 'web applications', 'invoicing', 'foreign languages', 'business correspondence', 'management information systems (mis)', 'negotiation', 'policy development', 'microsoft powerpoint', 'purchasing', 'quickbooks', 'sales analysis', 'secretarial support', 'audio engineering', 'supervision', 'typing speed', 'microsoft word'"
accountant cum secretary,accountant cum secretary_0,role,"'credit analysis', 'finance'"
"accountant, network assistant team","accountant, network assistant team_-1",role,"'accounts payable', 'financial systems analysis', 'critical thinking', 'financial reporting', 'program management'"
