Skill_ID,Cluster,Predicted_Skills,Matched_Course_Indexes,Matched_Course_Titles
0,academic resource advisor_0,'.net' 'microsoft project' 'microsoft visio' 'object-oriented programming (oop)' 'vbscript',"[3907, 2716, 2754, 1964, 5740, 2755, 2718, 3908, 3842, 6198, 2715, 2731, 1970, 1965, 1963, 518, 1969, 3425, 1962, 2710, 2857, 2677, 516, 2834, 9408, 517, 5638, 3596, 3909, 3905, 6845, 6998, 1972, 10282, 2697, 2747, 3841, 5683, 2701, 2705, 2706, 10340, 2707, 2682, 2704, 515, 5756, 5730, 5741, 5755]","['Introduction to Data Structures and Software Engineering', 'Programming Languages and Compilers', 'Design of Programming Languages', 'Introduction to Programming Languages C++ and Python', 'Introduction to Programming and Computation', 'Implementation of Programming Languages', 'Introduction to Software Engineering', 'Python for Engineers', 'Introduction to Computer Programming for Scientists and Engineers', 'Advanced Coding Interactive Stories', 'Operating Systems and System Programming', 'Introduction to Database Systems', 'Software Engineering for Scientific Computing', 'Introduction to Software Engineering Best Practices', 'Software Engineering Fundamentals for Molecular Sciences', '3-D Computer Technology', 'Foundations of Programming and Software Engineering for Molecular Sciences', 'Introduction to Python for Teachers', 'Programming Languages for Molecular Sciences: Python and C++', 'Computational Structures in Data Science', 'Computational Structures in Data Science', 'Introduction to Programming for Bioinformatics Bootcamp', '2-D Computer Technology', 'Introduction to Data Science Programming', 'Introduction to Data Management and Programming in SAS for Public Health', 'Introduction to Digital Design Methods', 'Applied Data Science with Venture Applications', 'Technology, Curriculum, and Instruction', 'Applied Data Science for Engineers', 'Fundamental Data Structures', 'Programming for Mathematical Applications', 'Programming for Mathematical Applications', 'MSSE Leadership Bootcamp', 'Introduction to Advanced Programming in R', 'The Beauty and Joy of Computing', 'Graduate Computer Architecture', 'Introduction to Computer Programming and Numerical Methods', 'Applied Data Science with Venture Applications', 'Completion of Work in Computer Science 61A', 'Data Structures', 'Data Structures and Programming Methodology', 'Computing for Statistics and Data Science with Julia', 'Great Ideas of Computer Architecture (Machine Structures)', 'Introduction to Computing', 'The Structure and Interpretation of Computer Programs', 'Principles of Computer Aided Architectural Design', 'Back-End Web Architecture', 'Back-End Web Architecture', 'Introduction to Data Structures and Analytics', 'Front-End Web Architecture']"
1,academic resource advisor_-1,'digital logic' 'peripheral installation' 'jvs system' 'linux administration' 'manual testing' 'remedy itsm' 'robotics' 'verilog hdl',"[2718, 2715, 2752, 2707, 1970, 2753, 3691, 1089, 3654, 2329, 2349, 7225, 3778, 3742, 3642, 3693, 2346, 2772, 4248, 7220, 3710, 3747, 2705, 10305, 10351, 5638, 3709, 3653, 2342, 2731, 3649, 10326, 2874, 2875, 10313, 2744, 3687, 3661, 3776, 3718, 3848, 7106, 3746, 3748, 3727, 2747, 5709, 5727, 3731, 3734]","['Introduction to Software Engineering', 'Operating Systems and System Programming', 'Advanced Topics in Computer Systems', 'Great Ideas of Computer Architecture (Machine Structures)', 'Software Engineering for Scientific Computing', 'Advanced Topics in Computer Systems', 'Introductory Microcomputer Interfacing Laboratory', 'Introductory Microcomputer Interfacing Laboratory', 'Introduction to Digital Design and Integrated Circuits', 'Human and Organizational Factors: Quality and Reliability of Engineered Systems', 'Control and Optimization of Distributed Parameters Systems', 'Control and Optimization of Distributed Parameters Systems', 'Control and Optimization of Distributed Parameters Systems', 'Analysis and Design of VLSI Analog-Digital Interface Integrated Circuits', 'Introduction to Digital Design and Integrated Circuits', 'Application Specific Integrated Circuits Laboratory', 'Civil Systems: Control and Information Management', 'Implementation of Data Base Systems', 'Introduction to Geographic Information Systems', 'Advanced Control Systems I', 'Advanced Control Systems I', 'Introduction to Digital Integrated Circuits', 'Data Structures', 'Reproducible and Collaborative Statistical Data Science', 'Reproducible and Collaborative Statistical Data Science', 'Applied Data Science with Venture Applications', 'Logic Synthesis', 'Cyber Physical System Design Prinicples and Applications', 'Cyber Physical System Design Prinicples and Applications', 'Introduction to Database Systems', 'Formal Methods: Specification, Verification, and Synthesis', 'Applied Statistics and Machine Learning', 'Principles and Techniques of Data Science', 'Principles and Techniques of Data Science', 'Principles and Techniques of Data Science', 'Principles and Techniques of Data Science', 'Microfabrication Technology', 'Introduction to Digital Electronics', 'Advanced Topics in Circuit Design', 'Digital Communications', 'Manufacturing and Design Communication', 'Mechatronics Design', 'Advanced Digital Integrated Circuits', 'Advanced Digital Integrated Circuits', 'High Speed Communications Networks', 'Graduate Computer Architecture', 'Applied Dynamic Programming', 'User Experience Research', 'Solid State Devices', 'Solid State Devices']"
2,academic resource advisor_1,'java programming' 'unix',"[3907, 2716, 2754, 3908, 3842, 5740, 5815, 1964, 2677, 2755, 3905, 10282, 2715, 3425, 2710, 2857, 2731, 2834, 1962, 2697, 2682, 2705, 6198, 1965, 1963, 6998, 6845, 9408, 2985, 1969, 3841, 10340, 3909, 10305, 10351, 2718, 8638, 5730, 2698, 2706, 8650, 1970, 5756, 5741, 1081, 2747, 2701, 2814, 5638, 3524]","['Introduction to Data Structures and Software Engineering', 'Programming Languages and Compilers', 'Design of Programming Languages', 'Python for Engineers', 'Introduction to Computer Programming for Scientists and Engineers', 'Introduction to Programming and Computation', 'Introductory Programming for Biologists', 'Introduction to Programming Languages C++ and Python', 'Introduction to Programming for Bioinformatics Bootcamp', 'Implementation of Programming Languages', 'Fundamental Data Structures', 'Introduction to Advanced Programming in R', 'Operating Systems and System Programming', 'Introduction to Python for Teachers', 'Computational Structures in Data Science', 'Computational Structures in Data Science', 'Introduction to Database Systems', 'Introduction to Data Science Programming', 'Programming Languages for Molecular Sciences: Python and C++', 'The Beauty and Joy of Computing', 'Introduction to Computing', 'Data Structures', 'Advanced Coding Interactive Stories', 'Introduction to Software Engineering Best Practices', 'Software Engineering Fundamentals for Molecular Sciences', 'Programming for Mathematical Applications', 'Programming for Mathematical Applications', 'Introduction to Data Management and Programming in SAS for Public Health', 'Python Programming for Digital Humanities', 'Foundations of Programming and Software Engineering for Molecular Sciences', 'Introduction to Computer Programming and Numerical Methods', 'Computing for Statistics and Data Science with Julia', 'Applied Data Science for Engineers', 'Reproducible and Collaborative Statistical Data Science', 'Reproducible and Collaborative Statistical Data Science', 'Introduction to Software Engineering', 'Genomics and Computational Biology', 'Back-End Web Architecture', 'The Beauty and Joy of Computing', 'Data Structures and Programming Methodology', 'Genomics and Computational Biology', 'Software Engineering for Scientific Computing', 'Back-End Web Architecture', 'Introduction to Data Structures and Analytics', 'Genetic Design Automation', 'Graduate Computer Architecture', 'Completion of Work in Computer Science 61A', 'Programming Fundamentals for Cybersecurity', 'Applied Data Science with Venture Applications', 'Educational Data Analysis Laboratory II']"
3,account assistant_0,'accounts receivable' 'bookkeeping' 'contract management' 'credit analysis' 'debit accounting' 'digital equipment corporation (dec) systems' 'finance' 'management information systems (mis)' 'financial statement preparation' 'tax preparation',"[1633, 1622, 1631, 1565, 1443, 9219, 4689, 1623, 1252, 1374, 1420, 1233, 1442, 1253, 1636, 1632, 1639, 1551, 2237, 1640, 1568, 1441, 1256, 3935, 1254, 1567, 9336, 1637, 1635, 1524, 1336, 1263, 1451, 1384, 1638, 1569, 6197, 2328, 1641, 9903, 1392, 2346, 2324, 1478, 1566, 1422, 1393, 1383, 1445, 1430]","['Advanced Financial Accounting', 'Financial Accounting', 'Intermediate Financial Accounting 1', 'Doctoral Seminar in Accounting I', 'Managerial Accounting', 'Financial Management and Budgeting', 'Accounting and Taxation of Derivatives', 'Managerial Accounting', 'Financial Information Analysis', 'Financial Accounting', 'Financial Accounting', 'Financial Accounting', 'Corporate Financial Reporting', 'Financial Reporting Analysis for Investors', 'Operating and Financial Reporting Issues in the Financial Services Industry', 'Intermediate Financial Accounting 2', 'Special Topics in Accounting', 'Advanced Health Care Finance', 'Engineering Project Management', 'Strategic Cost Management', 'Doctoral Seminar in Accounting IV', 'Financial Information Analysis', 'Corporate Finance', 'Accounting & Finance for Engineers', 'Managerial Accounting', 'Doctoral Seminar in Accounting III', 'Health Care Finance', 'Ethics in Accounting', 'Financial Information Analysis', 'Strategic Financial Management of Nonprofit Organizations', 'Strategic Financial Management of Nonprofit Organizations', 'Mergers and Acquisitions: A Focus on Creating Value', 'Mergers and Acquisitions: A Focus on Creating Value', 'Mergers and Acquisitions: A Focus on Creating Value', 'Auditing', 'Research Seminar in Accounting', 'Business Reporting', 'Business Fundamentals for Engineers', 'Corporate Finance and Financial Statement Analysis', 'Financial Management', 'Leadership', 'Civil Systems: Control and Information Management', 'Lean Construction and Supply Chain Management', 'Special Topics in Management of Organizations', 'Doctoral Seminar in Accounting II', 'Operations', 'Special Topics in the Management of Organizations', 'Corporate Finance', 'Corporate Finance', 'Strategy, Structure, and Incentives']"
4,account assistant_1,'adobe illustrator' 'adobe photoshop' 'audio editing' 'developer 2000' 'adobe pagemaker',"[892, 3860, 2718, 6291, 494, 516, 871, 8383, 856, 559, 865, 2158, 2729, 518, 893, 8069, 2769, 7876, 515, 7303, 6311, 517, 4181, 4610, 2935, 7779, 4169, 2918, 574, 2747, 854, 10613, 10612, 4180, 5635, 5744, 560, 495, 2176, 876, 2713, 2770, 2938, 879, 3693, 2716, 5742, 2754, 549, 550]","['Advanced Digital Media: Computer Graphics Studio', 'Advanced Engineering Design Graphics', 'Introduction to Software Engineering', 'Drawing Workshop 1', 'Introduction to Visual Representation and Drawing', '2-D Computer Technology', 'Advanced Projects in Printmaking', 'Aesthetics', 'Art, Water and California', 'Studio One, Fall', 'Drawing and Composition', 'Development--Design Studio', 'Foundations of Computer Graphics', '3-D Computer Technology', 'Electro-Crafting', 'Computer Graphics Animation', 'Foundations of Computer Graphics', 'Computer Programming for Music Applications', 'Principles of Computer Aided Architectural Design', 'Interactive Device Design', 'Advanced Project Design', 'Introduction to Digital Design Methods', 'Advanced Urban Design Studio', 'Introduction to Digital Video Production', 'Studio Foundations', 'Computational Creativity for Music and the Arts', '[IN]DESIGN', 'User Experience Design', 'Principles of Computer Aided Architectural Design', 'Graduate Computer Architecture', 'Graphic Novel: Foundations', 'Introduction to Visual Studies: Word and Image', 'Introduction to Visual Studies: Word and Image', 'Urban Design Fundamentals Studio', 'Industrial and Commercial Data Systems', 'Product Design Studio', 'Studio One, Spring', 'Introduction to Design', 'Community Development Studio/Workshop', 'Advanced Projects in Ceramic Sculpture', 'User Interface Design and Development', 'Advanced Computer Graphics Algorithms and Techniques', 'Thesis Studio', 'New Genres', 'Application Specific Integrated Circuits Laboratory', 'Programming Languages and Compilers', 'Introduction to User Experience Design', 'Design of Programming Languages', 'Introduction to Architecture Studio 1', 'Introduction to Architecture Studio 2']"
5,account assistant_-1,'dos' 'quality inspection' 'oracle database' 'oracle 8i' 'policy development' 'report generation' 'windows 9x',"[2718, 2731, 2753, 1970, 2752, 2715, 4443, 2875, 2744, 10313, 2874, 2705, 10325, 10305, 10351, 5759, 2706, 5673, 10326, 2329, 5638, 2755, 5635, 2772, 3524, 2732, 2861, 8109, 8141, 1371, 2841, 9393, 4248, 1964, 2711, 10289, 2860, 1413, 5683, 2346, 2237, 5743, 5736, 2835, 2701, 1417, 1230, 3528, 5686, 3907]","['Introduction to Software Engineering', 'Introduction to Database Systems', 'Advanced Topics in Computer Systems', 'Software Engineering for Scientific Computing', 'Advanced Topics in Computer Systems', 'Operating Systems and System Programming', 'Reproducible and Collaborative Data Science', 'Principles and Techniques of Data Science', 'Principles and Techniques of Data Science', 'Principles and Techniques of Data Science', 'Principles and Techniques of Data Science', 'Data Structures', 'Data Analysis and Machine Learning for Real-World Decision Making', 'Reproducible and Collaborative Statistical Data Science', 'Reproducible and Collaborative Statistical Data Science', 'Data Engineering', 'Data Structures and Programming Methodology', 'Analysis and Design of Databases', 'Applied Statistics and Machine Learning', 'Human and Organizational Factors: Quality and Reliability of Engineered Systems', 'Applied Data Science with Venture Applications', 'Implementation of Programming Languages', 'Industrial and Commercial Data Systems', 'Implementation of Data Base Systems', 'Educational Data Analysis Laboratory II', 'Data Engineering', 'Data Engineering', 'Risk-Informed Design for Advanced Nuclear Systems', 'Risk-Informed Design for Advanced Nuclear Systems', 'Data and Decisions', 'Modern Data Applications', 'Diagnostics in Infectious Diseases: Development, Regulatory and Implementation Challenges', 'Introduction to Geographic Information Systems', 'Introduction to Programming Languages C++ and Python', 'Principles & Techniques of Data Science', 'Principles & Techniques of Data Science', 'Principles & Techniques of Data Science', 'Data Analytics', 'Applied Data Science with Venture Applications', 'Civil Systems: Control and Information Management', 'Engineering Project Management', 'User Experience Research', 'Research Design and Applications for Data and Analysis', 'Research Design and Applications for Data and Analysis', 'Completion of Work in Computer Science 61A', 'Data and Decisions', 'Data and Decisions', 'Research Design and Methods for Program and Policy Evaluation', 'Machine Learning and Data Analytics', 'Introduction to Data Structures and Software Engineering']"
6,account executive_-1,'email communication' 'data migration' 'team building' 'energy efficiency' 'android development' 'closing procedures' 'quickbooks' 'sales techniques' 'insurance' 'owasp zap' 'accounts payable/receivable' 'focus erp' 'newsletter creation' 'pclaw' 'primary care' 'lean manufacturing' 'cdi' 'sage peachtree' 'pico framework' 'full accounting cycle' 'software as a service (saas)' 'utilities management' 'physics' 'control systems' 'cascading style sheets (css)' 'cisco' 'functional testing' 'public relations (pr)' 'form design' 'sensor technology' 'proposal writing' 'market research',"[2718, 2237, 2753, 3840, 2961, 5743, 1298, 2841, 2324, 2781, 1427, 1241, 2346, 1970, 2329, 5673, 3940, 1413, 8141, 8109, 1655, 1437, 1248, 2328, 1688, 2694, 2752, 1422, 2845, 7288, 1162, 5658, 2938, 1333, 2469, 6344, 1392, 4443, 6330, 2963, 1242, 1430, 5759, 502, 7577, 1718, 3868, 1652, 2842, 527]","['Introduction to Software Engineering', 'Engineering Project Management', 'Advanced Topics in Computer Systems', 'Engineering Your Life: Skills for Leadership, Discovery and Service', 'Strategic Planning and Project Management', 'User Experience Research', 'Product Management', 'Modern Data Applications', 'Lean Construction and Supply Chain Management', 'Designing Computer Science Education', 'Strategic Leadership', 'Strategic Leadership', 'Civil Systems: Control and Information Management', 'Software Engineering for Scientific Computing', 'Human and Organizational Factors: Quality and Reliability of Engineered Systems', 'Analysis and Design of Databases', 'Professional Ethics in Technology, Law and Business', 'Data Analytics', 'Risk-Informed Design for Advanced Nuclear Systems', 'Risk-Informed Design for Advanced Nuclear Systems', 'Management of Human Resources', 'Big Data, Better Decisions', 'Big Data, Better Decisions', 'Business Fundamentals for Engineers', 'Innovation and Design Thinking in Business', 'Mastering the Corporate Arena: Strategic Skills for Professional Success', 'Advanced Topics in Computer Systems', 'Operations', 'Machine Learning Systems Engineering', 'Advanced Technical Communication: Proposals, Patents, and Presentations', 'Advanced Technical Communication: Proposals, Patents, and Presentations', 'Senior Project', 'Thesis Studio', 'Strategy and Leadership for Social Impact', 'Language, Culture, and Makerspace Creativity', 'Supervised Field Study', 'Leadership', 'Reproducible and Collaborative Data Science', 'Thesis and Professional Project Proposal Seminar', 'Strategic Planning and Managemenr', 'Strategy, Structure, and Incentives', 'Strategy, Structure, and Incentives', 'Data Engineering', 'Fundamentals of Architectural Design', 'Life Sciences, Business, and Entrepreneurship Capstone Course', 'Life Sciences, Business, and Entrepreneurship Capstone Course', 'Technology Leadership: Entrepreneurship', 'Project Management', 'Behind the Data: Humans and Values', 'Sustainability Colloquium']"
7,account executive_1,'pascal programming' 'computer programming' 'graphic design' 'computer vision' 'microsoft word' 'cobol programming' 'microsoft powerpoint' 'adobe photoshop' 'computer networking' 'pr software' 'microsoft access',"[5740, 2754, 2718, 3842, 2716, 2710, 2857, 2747, 2697, 1963, 1970, 2755, 3907, 1965, 3908, 2707, 2698, 2731, 5635, 2715, 1962, 892, 1964, 5638, 518, 516, 6198, 2834, 2682, 3596, 515, 10351, 10305, 2677, 3425, 2712, 6845, 6998, 517, 574, 2169, 4706, 2918, 4248, 2753, 5742, 2781, 5673, 7303, 5683]","['Introduction to Programming and Computation', 'Design of Programming Languages', 'Introduction to Software Engineering', 'Introduction to Computer Programming for Scientists and Engineers', 'Programming Languages and Compilers', 'Computational Structures in Data Science', 'Computational Structures in Data Science', 'Graduate Computer Architecture', 'The Beauty and Joy of Computing', 'Software Engineering Fundamentals for Molecular Sciences', 'Software Engineering for Scientific Computing', 'Implementation of Programming Languages', 'Introduction to Data Structures and Software Engineering', 'Introduction to Software Engineering Best Practices', 'Python for Engineers', 'Great Ideas of Computer Architecture (Machine Structures)', 'The Beauty and Joy of Computing', 'Introduction to Database Systems', 'Industrial and Commercial Data Systems', 'Operating Systems and System Programming', 'Programming Languages for Molecular Sciences: Python and C++', 'Advanced Digital Media: Computer Graphics Studio', 'Introduction to Programming Languages C++ and Python', 'Applied Data Science with Venture Applications', '3-D Computer Technology', '2-D Computer Technology', 'Advanced Coding Interactive Stories', 'Introduction to Data Science Programming', 'Introduction to Computing', 'Technology, Curriculum, and Instruction', 'Principles of Computer Aided Architectural Design', 'Reproducible and Collaborative Statistical Data Science', 'Reproducible and Collaborative Statistical Data Science', 'Introduction to Programming for Bioinformatics Bootcamp', 'Introduction to Python for Teachers', 'Computer Architecture and Engineering', 'Programming for Mathematical Applications', 'Programming for Mathematical Applications', 'Introduction to Digital Design Methods', 'Principles of Computer Aided Architectural Design', 'Urban Informatics and Visualization', 'Deep Learning and Applications I', 'User Experience Design', 'Introduction to Geographic Information Systems', 'Advanced Topics in Computer Systems', 'Introduction to User Experience Design', 'Designing Computer Science Education', 'Analysis and Design of Databases', 'Interactive Device Design', 'Applied Data Science with Venture Applications']"
8,account executive_2,'mathematics' 'algebra' 'geometry',"[6862, 7015, 6860, 7013, 8410, 6990, 6837, 6810, 6963, 6978, 6825, 3439, 3365, 4579, 6798, 6951, 6936, 7089, 6952, 6799, 6976, 6823, 6801, 6954, 6950, 6797, 6859, 7012, 6988, 6835, 6800, 6953, 7058, 7059, 6905, 7672, 6906, 6927, 7080, 3413, 6820, 6973, 3414, 6880, 7033, 6836, 6989, 6955, 6802, 6811]","['History of Mathematics', 'History of Mathematics', 'Mathematics of the Secondary School Curriculum II', 'Mathematics of the Secondary School Curriculum II', 'Philosophy of Mathematics', 'Honors Introduction to Abstract Algebra', 'Honors Introduction to Abstract Algebra', 'Calculus I', 'Calculus I', 'College Algebra', 'College Algebra', 'Elementary Teaching in Mathematics and Science', 'Special Topics in the Foundations of Teaching', 'Methods of Mathematics: Calculus, Statistics, and Combinatorics', 'Methods of Mathematics: Calculus, Statistics, and Combinatorics', 'Methods of Mathematics: Calculus, Statistics, and Combinatorics', 'Seminars', 'Seminars', 'Methods of Mathematics: Calculus, Statistics, and Combinatorics', 'Methods of Mathematics: Calculus, Statistics, and Combinatorics', 'Transition to Upper Division Mathematics', 'Transition to Upper Division Mathematics', 'Methods of Mathematics: Calculus, Statistics, and Combinatorics', 'Methods of Mathematics: Calculus, Statistics, and Combinatorics', 'Precalculus', 'Precalculus', 'Mathematics of the Secondary School Curriculum I', 'Mathematics of the Secondary School Curriculum I', 'Honors Linear Algebra', 'Honors Linear Algebra', 'Methods of Mathematics: Calculus, Statistics, and Combinatorics', 'Methods of Mathematics: Calculus, Statistics, and Combinatorics', 'Discrete Mathematics for the Life Sciences', 'Discrete Mathematics for the Life Sciences', 'Discrete Mathematics for the Life Sciences', 'Discrete Mathematics for the Life Sciences', 'Discrete Mathematics for the Life Sciences', 'Advanced Topics Course in Mathematics', 'Advanced Topics Course in Mathematics', 'Mathematical Thinking and Problem Solving', 'Discrete Mathematics', 'Discrete Mathematics', 'Paradigmatic Didactical Mathematical Problematic Situations', 'C*-algebras', 'C*-algebras', 'Introduction to Abstract Algebra', 'Introduction to Abstract Algebra', 'Analytic Geometry and Calculus', 'Analytic Geometry and Calculus', 'Calculus II']"
9,account executive_0,'contract management' 'business intelligence (bi)' 'business development' 'general ledger accounting' 'data warehousing',"[1650, 2237, 1622, 8265, 6197, 5673, 1497, 2328, 5635, 1252, 1437, 1248, 1428, 1308, 1443, 1565, 2506, 2841, 9903, 1441, 2861, 2732, 1392, 1254, 3935, 2718, 1551, 1653, 2753, 2324, 5759, 1256, 1309, 9336, 1253, 1623, 1422, 1625, 1233, 1498, 1395, 1478, 1393, 1620, 1631, 1641, 2346, 1786, 2752, 2961]","['Advanced Business Analytics', 'Engineering Project Management', 'Financial Accounting', 'Eyecare Business and Professional Management II', 'Business Reporting', 'Analysis and Design of Databases', 'Managing the Legal Environment of Business', 'Business Fundamentals for Engineers', 'Industrial and Commercial Data Systems', 'Financial Information Analysis', 'Big Data, Better Decisions', 'Big Data, Better Decisions', 'Fundamentals of Business', 'Business Law: Managing the Legal Environment', 'Managerial Accounting', 'Doctoral Seminar in Accounting I', 'Business English for Multilingual Students', 'Modern Data Applications', 'Financial Management', 'Financial Information Analysis', 'Data Engineering', 'Data Engineering', 'Leadership', 'Managerial Accounting', 'Accounting & Finance for Engineers', 'Introduction to Software Engineering', 'Advanced Health Care Finance', 'Special Topics in Operations and Information Technology Management', 'Advanced Topics in Computer Systems', 'Lean Construction and Supply Chain Management', 'Data Engineering', 'Corporate Finance', 'Special Topics in Business and Public Policy', 'Health Care Finance', 'Financial Reporting Analysis for Investors', 'Managerial Accounting', 'Operations', 'Introduction to Business Analytics', 'Financial Accounting', 'Special Topics in Business and Public Policy', 'Special Topics in Business and Public Policy', 'Special Topics in Management of Organizations', 'Special Topics in the Management of Organizations', 'Microeconomic Analysis for Business Decisions', 'Intermediate Financial Accounting 1', 'Corporate Finance and Financial Statement Analysis', 'Civil Systems: Control and Information Management', 'Chemical Business Fundamentals II', 'Advanced Topics in Computer Systems', 'Strategic Planning and Project Management']"
