unnamed:_0,major,course_code,course_title,course_units,prerequisites,summer_schedule,course_url,course_level,terms_offered,grading,course_units_parsed
0,Aerospace Engineering (AERO ENG),AERO ENG 1,Aerospace Engineering 1 Seminar,1,,0,https://guide.berkeley.edu/courses/aeroeng/,Undergraduate,"Fall 2025, Fall 2024, Fall 2023",PNP,[1]
1,Aerospace Engineering (AERO ENG),AERO ENG 2,Aerospace Engineering 2 Seminar,1,,0,https://guide.berkeley.edu/courses/aeroeng/,Undergraduate,"Spring 2025, Spring 2024, Spring 2023",PNP,[1]
2,Aerospace Engineering (AERO ENG),AERO ENG 10,Introduction to Aerospace Engineering Design,4,"Prerequisite: MATH 51 , MATH 52 , MATH 53 (may be taken concurrently), PHYSICS 7A ; and programming ( COMPSCI 61A or ENGIN 7 )",0,https://guide.berkeley.edu/courses/aeroeng/,Undergraduate,"Fall 2025, Fall 2024, Fall 2023",LG,[4]
3,Aerospace Engineering (AERO ENG),AERO ENG 24,Freshman Seminars,1,,0,https://guide.berkeley.edu/courses/aeroeng/,Undergraduate,Spring 2023,PNP,[1]
4,Aerospace Engineering (AERO ENG),AERO ENG 98,Supervised Group Study and Research,1 - 4,Consent of instructor. Lower division standing,1,https://guide.berkeley.edu/courses/aeroeng/,Undergraduate,Spring 2025,PNP,"[1, 2, 3, 4]"
5,Aerospace Engineering (AERO ENG),AERO ENG 100,Aerospace Capstone,4,"MEC ENG 100 (Instrumentation or equivalent), MEC ENG 104 (Dynamics or equivalent), MEC ENG 132 (Controls or equivalent), MEC ENG 106 Fluid Mechanics",0,https://guide.berkeley.edu/courses/aeroeng/,Undergraduate,Fall 2025,LG,[4]
6,Aerospace Engineering (AERO ENG),AERO ENG C162,Introduction to Flight Mechanics,3,MATH 52 ; PHYSICS 7A ; and MEC ENG 106 (may be taken concurrently),0,https://guide.berkeley.edu/courses/aeroeng/,Undergraduate,"Fall 2025, Fall 2024, Fall 2023",LG,[3]
7,Aerospace Engineering (AERO ENG),AERO ENG C166,Introduction to Compressible Flow,3,"MEC ENG 104 , MEC ENG 163",0,https://guide.berkeley.edu/courses/aeroeng/,Undergraduate,"Fall 2025, Fall 2024",LG,[3]
8,Aerospace Engineering (AERO ENG),AERO ENG C184,Flight Vehicle Structures and Aeroelasticity,3,"CIV ENG C30 / MEC ENG C85 , and MEC ENG 104 or CIV ENG 126",0,https://guide.berkeley.edu/courses/aeroeng/,Undergraduate,Spring 2025,LG,[3]
9,Aerospace Engineering (AERO ENG),AERO ENG 193,Special Topics in Aerospace Engineering,1 - 4,"Upper-division standing is required. Course prerequisites vary and depend on the specific topic of the course, per the discretion of the instructor",1,https://guide.berkeley.edu/courses/aeroeng/,Undergraduate,Spring 2025,LG,"[1, 2, 3, 4]"
10,Aerospace Engineering (AERO ENG),AERO ENG C193P,The Final Frontier? Space Technology and National Security Policy,4,,0,https://guide.berkeley.edu/courses/aeroeng/,Undergraduate,Fall 2025,LG,[4]
