Cluster,Predicted_Skill_Text,Matched_Course_Index,Course_Code,Course_Title,Cosine_Similarity
global_50,global_50,892,ART 172,Advanced Digital Media: Computer Graphics Studio,0.6444433927536011
global_50,global_50,2718,COMPSCI 61BL,Data Structures and Programming Methodology,0.6653718948364258
global_50,global_50,516,ARCH 123,2-D Computer Technology,0.6642600297927856
global_50,global_50,2716,COMPSCI 61A,The Structure and Interpretation of Computer Programs,0.6288860440254211
global_50,global_50,3860,ENGIN W7,Introduction to Computer Programming for Scientists and Engineers,0.6487518548965454
global_50,global_50,2158,CY PLAN 214,Infrastructure Planning and Policy: Climate Change Planning and Urban Systems,0.6538130044937134
global_50,global_50,871,ART 124,Advanced Projects in Printmaking,0.6303322315216064
global_50,global_50,1965,CHEM C271B,Chemical Biology II - Enzyme Reaction Mechanisms,0.48984062671661377
global_50,global_50,2754,COMPSCI 198,Directed Group Studies for Advanced Undergraduates,0.6341859102249146
global_50,global_50,8069,NAV SCI 12A,Navigation and Naval Operations I,0.5971338748931885
global_50,global_50,559,ARCH 205A,"Studio One, Fall",0.6270147562026978
global_50,global_50,518,ARCH 124B,3-D Computer Technology,0.661261796951294
global_50,global_50,521,ARCH 129,Special Topics in Digital Design Theories and Methods,0.6457629799842834
global_50,global_50,5740,IND ENG 255,Frontiers in Revenue Management,0.6772767305374146
global_50,global_50,4169,ENV DES 8L,DISC: Design & Innovation for Sustainable Cities,0.5876844525337219
global_50,global_50,517,ARCH 124A,Introduction to Digital Design Methods,0.6544849872589111
global_50,global_50,2747,COMPSCI C191,Introduction to Quantum Computing,0.5445945262908936
global_50,global_50,1963,CHEM 270B,Advanced Biophysical Chemistry II,0.5592778921127319
global_50,global_50,6311,KOREAN 184,Korean Independent Cinema,0.632931113243103
global_50,global_50,3842,"ENE,RES 276",Climate Change Economics,0.5915500521659851
global_50,global_50,3907,ENGIN 200,"Ethics, Engineering and Society",0.6122808456420898
global_50,global_50,10340,SPANISH 104A,Survey of Spanish American Literature,0.5958212614059448
global_50,global_50,854,ART 25,Graphic Novel: Foundations,0.6235966682434082
global_50,global_50,2938,DES INV 181,Reimagining Mobility,0.6502063870429993
global_50,global_50,515,ARCH 122,Principles of Computer Aided Architectural Design,0.6540131568908691
global_50,global_50,5635,HISTORY 283,Historical Method and Theory,0.6415276527404785
global_50,global_50,2755,COMPSCI 199,Supervised Independent Study,0.5593596696853638
global_50,global_50,4180,ENV DES 107,Design and Difference,0.6575634479522705
global_50,global_50,2701,COMPSS 215,Career Development I,0.6474002003669739
global_50,global_50,3596,EDUC N299,Special Study and Research,0.6237605214118958
global_50,global_50,560,ARCH 205B,"Studio One, Spring",0.6586586236953735
global_50,global_50,2729,COMPSCI 168,Introduction to the Internet: Architecture and Protocols,0.618770956993103
global_50,global_50,8383,PACS 159,Conflict Resolution Intensive Training,0.6065351366996765
global_50,global_50,3693,EL ENG 120,Signals and Systems,0.590305745601654
global_50,global_50,7303,MEC ENG 256,Combustion,0.44689035415649414
global_50,global_50,2703,COMPSS 222,Applied Statistics II,0.6218395233154297
global_50,global_50,1970,CHEM 274B,Software Engineering Fundamentals for Molecular Sciences,0.6490792632102966
global_50,global_50,2769,COMPSCI C267,Applications of Parallel Computers,0.5349936485290527
global_50,global_50,4610,XMUSIC 27,Introduction to Western Music,0.5640517473220825
global_50,global_50,6331,LD ARCH 111,Plants in Design,0.6379139423370361
global_50,global_50,2935,DES INV 97,Field Study,0.5900648236274719
global_50,global_50,574,ARCH 222,Principles of Computer Aided Architectural Design,0.6693272590637207
global_50,global_50,2184,CY PLAN 264,Blackness and the Politics of Space and Place,0.6326372623443604
global_50,global_50,495,ARCH 11B,Introduction to Design,0.6433824896812439
global_50,global_50,4538,ETH STD 190AC,Advanced Seminar in Ethnic Studies,0.6566999554634094
global_50,global_50,894,ART 174,Advanced Digital Video,0.647897481918335
global_50,global_50,2183,CY PLAN C261,Community Engagement and Public Participation in Planning Processes,0.6057968139648438
global_50,global_50,1969,CHEM 274A,Programming Languages for Molecular Sciences: Python and C++,0.6562408208847046
global_50,global_50,508,ARCH 107,Introduction to the Practice of Architecture,0.6373201608657837
global_50,global_50,5744,IND ENG 262A,Mathematical Programming I,0.6143993139266968
global_29,global_29,3710,EL ENG C145O,Laboratory in the Mechanics of Organisms,0.6483569741249084
global_29,global_29,7220,MEC ENG 193A,Special Topics in Biomechanical Engineering,0.6257418990135193
global_29,global_29,3642,EGYPT 201B,Middle Egyptian Texts,0.6426775455474854
global_29,global_29,3654,EECS C106A,Introduction to Robotics,0.651301920413971
global_29,global_29,3779,EL ENG C249A,Introduction to Embedded Systems,0.6823335886001587
global_29,global_29,7287,MEC ENG 240B,Advanced Marine Structures II,0.6174571514129639
global_29,global_29,5696,IND ENG 170,Industrial Design and Human Factors,0.6707214713096619
global_29,global_29,7226,MEC ENG 193G,Special Topics in Manufacturing,0.6535056233406067
global_29,global_29,7218,MEC ENG 190Y,Practical Control System Design: A Systematic Optimization Approach,0.6362847089767456
global_29,global_29,3711,EL ENG 146L,Application Specific Integrated Circuits Laboratory,0.6488485932350159
global_29,global_29,2715,COMPSCI 47C,Completion of Work in Computer Science 61C,0.6686985492706299
global_29,global_29,3727,EL ENG 219B,Logic Synthesis,0.630789041519165
global_29,global_29,3747,EL ENG 229B,Error Control Coding,0.5659180879592896
global_29,global_29,2346,CIV ENG 273,Advanced GeoEngineering Testing and Design,0.6040823459625244
global_29,global_29,1089,BIO ENG C145L,Introductory Electronic Transducers Laboratory,0.58876633644104
global_29,global_29,3691,EL ENG 117,Electromagnetic Fields and Waves,0.5300998687744141
global_29,global_29,7222,MEC ENG 193C,Special Topics in Design,0.6729122400283813
global_29,global_29,2747,COMPSCI C191,Introduction to Quantum Computing,0.5518637299537659
global_29,global_29,2707,COMPSS 230,Capstone Project,0.6950364112854004
global_29,global_29,7128,MATH 256B,Algebraic Geometry,0.5598792433738708
global_29,global_29,3680,EL ENG 49,Electronics for the Internet of Things,0.6526594758033752
global_29,global_29,3742,EL ENG 227BT,Convex Optimization,0.5771996378898621
global_29,global_29,2718,COMPSCI 61BL,Data Structures and Programming Methodology,0.691487193107605
global_29,global_29,1649,UGBA 135,Personal Financial Management,0.5886921882629395
global_29,global_29,7300,MEC ENG 253,Graduate Applied Optics and Radiation,0.48095399141311646
global_29,global_29,3693,EL ENG 120,Signals and Systems,0.5973641872406006
global_29,global_29,3776,EL ENG C247B,Introduction to MEMS Design,0.6121634244918823
global_29,global_29,7106,MATH 228A,Numerical Solution of Differential Equations,0.45841896533966064
global_29,global_29,3746,EL ENG 229A,Information Theory and Coding,0.6183050870895386
global_29,global_29,3748,EL ENG 230A,Integrated-Circuit Devices,0.48697414994239807
global_29,global_29,3644,EGYPT 202B,Egyptian Texts,0.5544064044952393
global_29,global_29,3842,"ENE,RES 276",Climate Change Economics,0.5952914953231812
global_29,global_29,3596,EDUC N299,Special Study and Research,0.6130537986755371
global_29,global_29,5713,IND ENG 198,Directed Group Studies for Advanced Undergraduates,0.6297575831413269
global_29,global_29,7228,MEC ENG 193I,Special Topics in Mechanics,0.6473784446716309
global_29,global_29,2772,COMPSCI 271,Randomness and Computation,0.5149796009063721
global_29,global_29,3709,EL ENG C145M,Introductory Microcomputer Interfacing Laboratory,0.6664654612541199
global_29,global_29,3676,EL ENG 24,Freshman Seminar,0.6145540475845337
global_29,global_29,2752,COMPSCI H196B,Senior Honors Thesis Research,0.6656726598739624
global_29,global_29,7223,MEC ENG 193D,Special Topics in Dynamics,0.6565948724746704
global_29,global_29,7129,MATH 257,Group Theory,0.5291765332221985
global_29,global_29,3718,EL ENG 198,Directed Group Study for Advanced Undergraduates,0.6133643388748169
global_29,global_29,1323,EWMBA 290K,Innovation in Services and Business Models,0.6117608547210693
global_29,global_29,3745,EL ENG 228A,High Speed Communications Networks,0.6254132986068726
global_29,global_29,2703,COMPSS 222,Applied Statistics II,0.6145014762878418
global_29,global_29,7131,MATH 261A,Lie Groups,0.5094379186630249
global_29,global_29,7221,MEC ENG 193B,Special Topics in Controls,0.6652346849441528
