degree_names,languages,matched_score,institution_count,max_passing_year,gpa,min_experience_requirement,min_age_requirement,extra_curricular,certification,major1_mapped,major2_mapped,job1,job2,job3
Bachelor,,0.85,1,2019,,1.0,,0,0,Electrical Engineering,Undeclared,Data Analyst,,
Master,,0.75,2,2018,,5.0,,0,0,Mathematics,Statistics,Business Analyst,,
Bachelor,,0.416666667,1,2018,,3.0,,0,0,Electrical Engineering,Undeclared,Software Engineer,,
Bachelor,,0.7600000000000001,1,2008,,1.0,22.0,0,0,Computer Science,Undeclared,Accountant,Accounts Receivable Clerk,Mortgage Underwriter
Bachelor,,0.65,1,,3.84,4.0,,1,1,Accounting,Undeclared,Accountant,Accountant,Tax Analyst
Bachelor,,0.85,2,,,,,0,1,Electrical Engineering,Computer Science,Systems Engineer,,Software Engineer
Bachelor,,0.65,1,2020,,4.0,,0,0,Information Technology,Undeclared,Intern,,
Bachelor,Spanish,0.65,1,2009,2.5,4.0,,0,1,Electrical Engineering,Undeclared,Engineering Technician,Instrument Technician,Project Coordinator
Bachelor,,0.55,1,2019,,2.0,25.0,0,1,Electrical Engineering,Undeclared,Analyst,,
Master,,0.383333333,2,2019,,1.0,22.0,0,0,Computer Science,Computer Science,Software Engineer,,
Master,,0.75,3,2003,4.0,5.0,24.0,0,0,Education,Accounting,Manager,Instructional Designer,Online Course Instructor
Bachelor,,0.65,1,2020,,5.0,28.0,1,1,Undeclared,Undeclared,Business Analyst,,
Bachelor,,0.65,1,2020,,5.0,,1,0,Economics,Undeclared,Consultant,Analyst,
Bachelor,,0.316666667,3,2023,0.4,5.0,24.0,1,1,Electrical Engineering,Undeclared,Intern,Intern,
Bachelor,,0.583333333,1,,3.6,2.0,25.0,0,1,Computer Science,Undeclared,Android Engineer,Android Engineer,
Bachelor,,0.85,1,2020,,1.0,25.0,0,1,Electrical Engineering,Undeclared,,,
Bachelor,,0.85,1,2019,,4.0,,0,0,Business Administration,Undeclared,Engineering Technician,Consultant,Engineering Technician
Bachelor,,0.626666667,1,2019,,3.0,,1,0,Information Technology,Undeclared,Analyst,,
Bachelor,,0.333333333,1,,3.6,5.0,30.0,0,1,Computer Science,Undeclared,Android Engineer,Android Engineer,
Bachelor,,0.65,1,2019,,3.0,40.0,1,0,Computer Science,Undeclared,Machine Learning Engineer,,
Bachelor,,0.2166666666666666,1,2002,,2.0,25.0,1,1,Accounting,Undeclared,Accountant,Accountant,Financial Analyst
Bachelor,,0.85,2,,,3.0,25.0,1,0,Management,Civil Engineering,Engineering Technician,Engineering Technician,Engineering Technician
Bachelor,,0.65,1,2018,,3.0,,1,0,Undeclared,Undeclared,,,
Bachelor,,0.85,2,,,,20.0,0,0,Undeclared,Undeclared,Equipment Engineering Technician,Mechanical Technician,Operating Engineer
Master,,0.65,2,2020,,1.0,,0,0,Undeclared,Undeclared,Data Scientist,,
Master,,0.65,2,2015,,2.0,25.0,0,1,Computer Science,Computer Science,Instructor,Software Engineer,Software Engineer
Master,,0.85,2,2019,,2.0,,1,0,Economics,Economics,Finance Technology Expert,,
Bachelor,,0.596666667,1,2018,,,22.0,0,0,Electrical Engineering,Undeclared,Software Engineer,,
Master,,0.85,2,,,5.0,,0,0,Computer Science,Electrical Engineering,Software Engineer,Software Engineer,Software Engineer
Bachelor,,0.75,1,2020,,,,0,1,Electrical Engineering,Undeclared,,,
Bachelor,,0.383333333,1,2019,,,18.0,1,0,Civil Engineering,Undeclared,Application Development,,
Bachelor,,0.85,1,2017,,3.0,,0,0,Computer Science,Undeclared,Information Systems Specialist,,Software Engineer
Master,,0.85,3,2012,3.7,3.0,,1,0,Mechanical Engineering,Electrical Engineering,Buiness Developer,,Operations Specialist
Bachelor,,0.65,1,2019,,4.0,,1,0,Electrical Engineering,Undeclared,Analyst,,
PhD,,0.85,3,2017,3.93,3.0,40.0,0,0,Computer Science,Computer Science,Researcher,Research Assistant,Research Assistant
Bachelor,,0.75,1,2018,,4.0,,0,0,Electrical Engineering,Undeclared,,,
Master,,0.816666667,2,2020,,,,0,1,Statistics,Data Science,Statistical Analyst,,
Bachelor,,0.623333333,1,2019,,1.0,,1,0,Electrical Engineering,Undeclared,Engineer,,
Bachelor,,0.716666667,1,2025,3.1,5.0,,1,1,Biological Sciences,Undeclared,Dining Room Attendant,Childcare Provider,
Master,,0.65,2,2005,,,,0,0,Business Administration,Accounting,Accountant,Project Manager,Project Manager
Bachelor,,0.783333333,11,,,,22.0,0,0,Undeclared,General Engineering,Engineer,Electrical Superintendent,Engineer
Master,,0.716666667,2,2019,,3.0,40.0,0,0,Electrical Engineering,Data Science,Machine Learning Engineer,,
Master,,0.55,3,2016,,15.0,52.0,0,0,Electrical Engineering,Electrical Engineering,Engineer,Engineer,Software Engineer
Bachelor,,0.85,1,,,3.0,,0,0,Computer Science,Undeclared,Customer Service Representative,Academic Resource Advisor,
Master,,0.85,2,,,2.0,25.0,0,0,Industrial Engineering,Mechanical Engineering,Engineer,Engineer,
Bachelor,,0.783333333,2,2017,3.1768,5.0,,1,1,General Studies,Aerospace Engineering,Engineer,Tutor,Mechanical Design Engineer
Bachelor,,0.7166666666666667,1,2012,4.0,5.0,,0,0,Undeclared,Undeclared,Business Development Director,Event Manager,Customer Service Specialist
Master,,0.65,2,2015,,5.0,30.0,0,1,Computer Science,Computer Science,Instructor,Software Engineer,Software Engineer
Bachelor,,0.5333333333333333,1,,,5.0,,0,0,Accounting,Undeclared,Accountant,,
Master,,0.65,2,2019,,2.0,25.0,1,0,Economics,Economics,,,
Master,,0.6,2,2020,,3.0,,0,0,Computer Science,Computer Science,Software Engineer,Software Engineer,
Master,Spanish,0.7833333333333333,2,,,5.0,28.0,0,0,Finance,Finance,,,Others
Bachelor,,0.483333333,3,,,1.0,,0,0,Electronic Technology,Business Administration,Clinical Engineering Manager,Imaging Service Engineer,Imaging Service Engineer
Bachelor,,0.85,2,1996,,4.0,,0,0,Undeclared,General Studies,Buisness Developer,Service Manager,System Technology Specialist
Bachelor,,0.716666667,1,,,3.0,,0,0,Computer Science,Undeclared,Software Engineer,Software Engineer,
Bachelor,,0.75,1,2018,3.8,2.0,25.0,0,0,Computer Science,Undeclared,Computer Scientist,Machine Learning Engineer,IT Technician
Master,,0.48,2,2021,,1.0,22.0,1,0,Computer Science,Data Science,Intern,,
Bachelor,,0.783333333,1,2019,,4.0,,1,0,Electrical Engineering,Undeclared,Analyst,,
Bachelor,,0.85,1,,,3.0,,0,0,Business Administration,Undeclared,Business Development Director,Marketing Analyst,Marketing Analyst
Bachelor,,0.85,2,,,1.0,,0,0,Undeclared,Undeclared,Equipment Engineering Technician,Mechanical Technician,Operating Engineer
Master,,0.65,2,2020,,1.0,,0,0,Management,Information Technology,Business Analyst,,
Bachelor,,0.693333333,1,2019,,2.0,25.0,1,0,Computer Science,Undeclared,Machine Learning Engineer,,
Master,,0.65,2,2019,,2.0,,1,0,Commerce,Undeclared,Data Scientist,,
Bachelor,,0.76,1,1990,3.95,,,0,0,Administrative Studies,Undeclared,,,Facilities Administrator
Bachelor,,0.736666667,1,2020,,3.0,25.0,1,0,Electrical Engineering,Undeclared,Data Engineer,,
Bachelor,,0.783333333,2,2001,,4.0,,0,0,Computer Aided Design,Undeclared,Engineer,Plant Manager,Precision Machinist
Bachelor,,0.65,1,2021,3.4,5.0,30.0,0,0,Computer Science,Undeclared,Technician,Research Assistant,
Bachelor,,0.34,1,,,5.0,24.0,0,0,Business Administration,Undeclared,Accountant,Accountant,Accountant
Bachelor,,0.623333333,1,2019,,1.0,,0,0,Statistics,Undeclared,Data Scientist,,
Master,,0.85,2,2016,0.2788,,20.0,0,0,General Engineering,Chemical Engineering,Engineer,Others,
Bachelor,,0.656666667,1,2018,,,18.0,0,0,Computer Science,Undeclared,Business Analyst,,
Bachelor,,0.693333333,1,2019,,3.0,40.0,1,0,Chemical Sciences,Undeclared,Data Scientist,,
Bachelor,,0.85,1,2019,,3.0,,1,0,Information Technology,Undeclared,,,
Bachelor,,0.826666667,1,2020,,3.0,40.0,1,0,Mechanical Engineering,Undeclared,Business Analyst,,
Bachelor,,0.57,1,2000,,1.0,22.0,0,0,Electrical Engineering,Undeclared,Engineering Technician,Manufacturing Technician,Electronic Technician
Bachelor,,0.85,1,,,5.0,,0,0,Electrical Engineering,Undeclared,Technician,Technician,
Bachelor,,0.826666667,1,2020,,5.0,,1,0,Undeclared,Undeclared,Data Engineer,,
Master,,0.76,2,2006,,2.0,25.0,0,0,Business Administration,Computer Science,,Software Engineer,
Bachelor,,0.683333333,1,2020,,,22.0,0,1,Statistics,Undeclared,Analyst,,
Master,,0.75,2,2020,,5.0,28.0,1,1,Computer Science,Computer Science,Machine Learning Engineer,,
Master,,0.85,2,2006,,5.0,28.0,0,0,Finance,Undeclared,Accountant,Accountant,Accountant
Bachelor,,0.716666667,1,,3.8,2.0,25.0,1,0,Computer Science,Undeclared,Software Engineer,,
